rule,scope,description
root-scope-includes-descendants,subscription,"Subscribing to an allowed root key includes events for that root and all of its readable descendants."
read-access-still-applies,subscription,"A subscription only yields descendant events that the user is allowed to read."
roots-predefined,configuration,"The list of subscribable root keys should be predefined by configuration rather than accepted as arbitrary subtree keys."
subtree-subscriptions-not-allowed,subscription,"Clients should be able to subscribe to a document root but not to an arbitrary section or nested subtree inside that root."
non-allowed-root-invalid,subscription,"Subscribing to a root key outside the predefined allowed set should return `invalid`."
status-message-for-command-errors,connection,"When a client WebSocket command cannot be accepted, the server should return a `status` message with the relevant `OperationStatus` and optional `message`."
command-id-echoed,connection,"When a client WebSocket command includes `id`, the matching acknowledgement or `status` response should echo that same `id`."
overlapping-roots-disallowed,configuration,"Configured subscribable roots should not overlap. This should be treated as a configuration warning or validation error rather than a runtime merge rule."
subscribe-extends-set,connection,Repeated `subscribe` messages extend the active root-key set for the same connection.
duplicate-root-keys-normalized,connection,Duplicate root keys are normalized without error.
most-recent-subscription-wins,connection,When duplicate root keys are received the most recent subscription entry wins.
unsubscribe-missing-key-noop,connection,Unsubscribing a root key that is not currently subscribed is a no-op and does not raise an error.
unsubscribe-valid-ack,connection,"A valid `unsubscribe` command should return `unsubscribed` even when some requested root keys were not active."
disconnect-clears-subscriptions,connection,When a user unregisters or the connection closes all active subscriptions tied to that user or connection are removed.
